VBELN;POSNR;FKART;FKDAT;RFBSK;FKSTO;VBTYP;ERDAT;MATNR;NETWR;MWSBP;MATKL;CHARG;SELLER_ID;SELLER_NOMBRE;SELLER_APELLIDO
0900417778;000110;S1;20260228;C;;N;20260302;SERV.EXTERNO;12000.00;2280.00;0086;;;;
0900417778;000120;S1;20260228;C;;N;20260302;000000000000704990;140.06;26.61;0034;;;;
0900417778;000130;S1;20260228;C;;N;20260302;000000000000177451;47.89;9.10;0103;;;;
0900417778;000140;S1;20260228;C;;N;20260302;000000000000771134;304.39;57.83;0013;;;;
0900417778;000150;S1;20260228;C;;N;20260302;000000000000713780;119.58;22.72;0013;;;;
0900417778;000160;S1;20260228;C;;N;20260302;000000000000713754;183.98;34.96;0013;;;;
0900417778;000170;S1;20260228;C;;N;20260302;000000000000757231;2079.59;395.12;0013;;;;
0900417778;000180;S1;20260228;C;;N;20260302;000000000000713746;3473.35;659.94;0013;;;;
0900417778;000190;S1;20260228;C;;N;20260302;000000000000191358;455.67;86.58;0013;;;;
0900417778;000200;S1;20260228;C;;N;20260302;000000000000887311;529.41;100.59;0024;;;;
0900417778;000210;S1;20260228;C;;N;20260302;000000000000114894;648.44;123.20;0310;;;;
0900417778;000220;S1;20260228;C;;N;20260302;000000000000819909;297.40;56.51;0001;;;;
0900417778;000230;S1;20260228;C;;N;20260302;000000000000828304;941.25;178.84;0001;;;;
0900417778;000240;S1;20260228;C;;N;20260302;000000000000819952;259.43;49.29;0001;;;;
0900417778;000250;S1;20260228;C;;N;20260302;000000000000819951;127.90;24.30;0001;;;;
0900417778;000260;S1;20260228;C;;N;20260302;000000000000717613;1028.26;195.37;0001;;;;
0900417778;000270;S1;20260228;C;;N;20260302;000000000000819953;71.19;13.53;0001;;;;
0900417778;000280;S1;20260228;C;;N;20260302;000000000000772299;1635.66;310.78;0001;;;;
0900417778;000290;S1;20260228;C;;N;20260302;000000000000772461;32.77;6.23;0001;;;;
0900417778;000300;S1;20260228;C;;N;20260302;000000000000717614;46.78;8.89;0001;;;;
0900417778;000310;S1;20260228;C;;N;20260302;000000000000717615;37.06;7.04;0001;;;;
0900417778;000320;S1;20260228;C;;N;20260302;000000000000735475;327.01;62.13;0001;;;;
0900417778;000330;S1;20260228;C;;N;20260302;000000000000800753;3353.51;637.17;0001;;;;
0900417778;000340;S1;20260228;C;;N;20260302;000000000000143944;515.04;97.86;0001;;;;
0900417778;000350;S1;20260228;C;;N;20260302;000000000000107430;1189.87;226.08;0013;;;;
0900417778;000360;S1;20260228;C;;N;20260302;000000000000791502;880.00;167.20;0001;;;;
0900417778;000370;S1;20260228;C;;N;20260302;000000000000791501;2621.96;498.17;0001;;;;
0900417778;000380;S1;20260228;C;;N;20260302;CS08;7983.00;1516.77;0082;;;;
0900417778;000390;S1;20260228;C;;N;20260302;000000000000770767;115.29;21.91;0013;;;;
0900417778;000400;S1;20260228;C;;N;20260302;000000000000733380;1292.80;245.63;0013;;;;
0900417778;000410;S1;20260228;C;;N;20260302;000000000000717234;376.35;71.51;0013;;;;
0900417778;000420;S1;20260228;C;;N;20260302;000000000000717233;401.09;76.21;0013;;;;
