ITEM_TYPE;BUKRS;KUNNR;BELNR;GJAHR;BLART;BUDAT;BLDAT;WAERS;DMBTR;WRBTR;SHKZG;ZFBDT;ZBD1T;VBELN;ZUONR;SGTXT;AUGDT;AUGBL
CLEARED;1000;96689310-9;0000285869;2024;SA;20240131;20240131;CLP;1017.10;1017.10;S;20240131;0;;;;20240131;0000285869
CLEARED;1000;96689310-9;0000285873;2024;SA;20240131;20240131;CLP;1151.04;1151.04;S;20240131;0;;;;20240131;0000285873
CLEARED;1000;96689310-9;0000285878;2024;SA;20240131;20240131;CLP;2172.63;2172.63;S;20240131;0;;;;20240131;0000285878
CLEARED;1000;96689310-9;0000285883;2024;SA;20240131;20240131;CLP;533.30;533.30;S;20240131;0;;;;20240131;0000285883
CLEARED;1000;96689310-9;0000285888;2024;SA;20240131;20240131;CLP;341.80;341.80;S;20240131;0;;;;20240131;0000285888
CLEARED;1000;96689310-9;0000285889;2024;SA;20240131;20240131;CLP;2677.43;2677.43;S;20240131;0;;;;20240131;0000285889
CLEARED;1000;96689310-9;0000285890;2024;SA;20240131;20240131;CLP;249.90;249.90;S;20240131;0;;;;20240131;0000285890
CLEARED;1000;96689310-9;0000285891;2024;SA;20240131;20240131;CLP;1085.42;1085.42;S;20240131;0;;;;20240131;0000285891
CLEARED;1000;96689310-9;0000285894;2024;SA;20240131;20240131;CLP;1927.88;1927.88;S;20240131;0;;;;20240131;0000285894
CLEARED;1000;96689310-9;0000285898;2024;SA;20240131;20240131;CLP;948.46;948.46;S;20240131;0;;;;20240131;0000285898
CLEARED;1000;96689310-9;0000285899;2024;SA;20240131;20240131;CLP;1967.65;1967.65;S;20240131;0;;;;20240131;0000285899
CLEARED;1000;96689310-9;0000285902;2024;SA;20240131;20240131;CLP;1717.56;1717.56;S;20240131;0;;;;20240131;0000285902
CLEARED;1000;96689310-9;0000285906;2024;SA;20240131;20240131;CLP;2482.84;2482.84;S;20240131;0;;;;20240131;0000285906
CLEARED;1000;96689310-9;0000285909;2024;SA;20240131;20240131;CLP;1071.39;1071.39;S;20240131;0;;;;20240131;0000285909
CLEARED;1000;96689310-9;0000285913;2024;SA;20240131;20240131;CLP;1339.92;1339.92;S;20240131;0;;;;20240131;0000285913
CLEARED;1000;96689310-9;0000285917;2024;SA;20240131;20240131;CLP;785.79;785.79;S;20240131;0;;;;20240131;0000285917
CLEARED;1000;96689310-9;0000285927;2024;SA;20240131;20240131;CLP;2034.26;2034.26;S;20240131;0;;;;20240131;0000285927
CLEARED;1000;96689310-9;0000285932;2024;SA;20240131;20240131;CLP;77.95;77.95;S;20240131;0;;;;20240131;0000285932
CLEARED;1000;96689310-9;0000285933;2024;SA;20240131;20240131;CLP;3249.07;3249.07;S;20240131;0;;;;20240131;0000285933
CLEARED;1000;96689310-9;0000285936;2024;SA;20240131;20240131;CLP;5252.18;5252.18;S;20240131;0;;;;20240131;0000285936
